timestamp_us,audio_adc
77604512,27
77606012,36
77607112,12207
77608212,8110
77609312,9082
77610412,12202
77611912,5218
77613012,1905
77614112,5924
77615212,18
77616712,0
77617812,12201
77618912,11
77620012,12163
77621512,12164
77622612,3343
77623712,12220
77624812,0
77626312,29
77627412,12176
77628512,4279
77629612,12202
77631112,12226
77632212,56
77633312,12198
77634412,12213
77636012,3018
77637112,8541
77638212,12196
77639312,15
77640412,12203
77729312,6923
77806810,8505
77808319,8021
77809510,3947
77811012,25
77812112,3767
77813212,6093
77814312,10788
77815412,12197
77816912,12188
77818012,12198
77819112,12223
77820212,12189
77821712,9126
77822812,12176
77823912,4603
77825012,7952
77826612,3861
77827712,2376
77828812,1753
77829912,1764
77831412,654
77832512,17
77833612,4091
77834712,9353
77836212,3532
77837312,6832
77838412,9492
77839512,12172
77841012,12225
77842112,9928
77843212,7320
77844312,8283
77845412,2430
77846912,4938
77848012,6242
77849112,5815
77850212,9122
77851712,8532
77852812,5963
77853912,4176
77855012,20
77856512,0
77857612,4695
77858712,5540
77859812,12221
77861312,12172
77862412,6582
77863512,12189
77864612,7911
77866212,7587
77867312,9004
77868412,7042
77869512,10680
77871012,6245
77872112,6901
77873212,8932
77874312,9560
77875412,7934
77876912,7997
77878012,6256
77879112,7583
77880212,4749
77881712,2688
77995811,6959
78012812,7145
78014312,4388
78015412,7446
78016912,5742
78018012,5475
78019112,7009
78020212,2297
78094210,7944
78095810,6562
78097311,7796
78098411,5013
78099511,16
78101011,2116
78102111,1430
78103211,3995
78104311,11646
78105411,8803
78106911,12189
78108011,7133
78109111,6526
78110211,10459
78111711,6008
78112811,9526
78113911,4607
78115011,2874
78116511,5989
78117611,7676
78118711,9413
78119811,384
78121311,1083
78122411,6989
78123511,5181
78124611,10074
78126211,5494
78127311,5631
78128411,5402
78129511,8672
78131011,12157
78132111,9275
78133211,40
78134311,23
78135411,49
78136911,10969
78138011,7446
78139111,4526
78140211,7228
78141711,3382
78142811,3632
78143911,8820
78145011,1
78146511,5168
78147611,6425
78148711,10828
78149811,12210
78151311,12174
78152411,9267
78153511,8758
78154611,12190
78156111,12216
78157211,10507
78158311,10188
78159411,9440
78160911,7912
78250610,12166
78252210,9826
78253410,9796
78254510,6831
78256112,10922
78257212,8138
78258312,12202
78259412,6004
78260912,5892
78262012,2734
78263112,1657
78264212,4303
78265312,0
78266812,8141
78267912,326
78269012,7501
78270112,8225
78344212,5941
78345812,7502
78347312,10923
78348412,10017
78349512,3797
78351012,8450
78352112,2658
78353212,6215
78354312,2034
78355412,658
78356912,1081
78358012,3643
78359112,6031
78360212,12215
78361712,6490
78362812,6042
78363912,5122
78365012,2242
78366512,5214
78367612,28
78368712,5581
78369812,5244
78371312,3303
78372412,9024
78373512,3273
78374612,8935
78376212,6517
78377312,6930
78378412,9124
78379512,4498
78381012,12197
78382112,9004
78383212,6261
78384312,658
78385412,4437
78386912,0
78388012,6514
78389112,421
78390212,4260
78391712,5865
78392812,5913
78393912,12200
78395012,5321
78396512,12172
78397612,10729
78398712,2610
78399812,6246
78489912,5703
78507111,4867
78508611,44
78509711,12221
78511211,12218
78512311,12184
78513411,12217
78514511,31
78516111,2596
78517211,12183
78518311,3064
78519411,32
78520911,8843
78522011,12191
78523111,9601
78524211,0
78525311,9614
78526811,4361
78527911,12201
78529011,3220
78530111,12165
78605112,8757
78606612,4125
78607712,6407
78608812,4718
78610012,3381
78611512,4912
78612612,6798
78613712,2182
78614812,3714
78616312,9444
78617412,2985
78618512,12207
78619612,10398
78621112,5857
78622212,5843
78623312,28
78624412,1923
78625912,2211
78627012,22
78628112,12169
78629212,9360
78630312,3927
78631812,8159
78632912,5109
78634012,8138
78635112,12176
78636612,0
78637712,12172
78638812,12213
78639912,31
78641512,8419
78642612,11231
78643712,1401
78644812,11022
78646312,8657
78647412,9291
78648512,2979
78649612,7944
78651112,6776
78652212,9278
78653312,1229
78654412,3194
78655912,421
78744010,21
78745610,12199
78747112,12188
78748212,4
78749312,12195
78750412,12213
78751912,36
78753012,12182
78754112,12
78755212,12193
78756712,12182
78757812,0
78758912,12177
78760012,12173
78761612,7
78762712,12167
78763812,23
78764912,12174
78766412,12170
78767512,49
78768612,12186
78769712,42
78771212,7111
78772312,12186
78773412,53
78774512,12189
78776012,12217
78777112,8410
78778212,12181
78779312,57
78780412,12164
78854910,4032
78856410,3384
78857610,12208
78858710,7110
78859810,9838
78861310,12226
78862410,39
78863510,12210
78864610,38
78866211,12198
78867311,662
78868411,4958
78869511,12153
78871011,2028
78872111,12208
78873211,37
78874311,12198
78875411,24
78876911,10423
78878011,10415
78879111,0
78880211,12202
78881711,16
78882811,12194
78883911,1481
78885011,12191
78886511,28
78887611,12185
78888711,2512
78889811,9754
78891311,2329
78892411,8911
78893511,12218
79006310,1286
79020612,39
79022112,2864
79023212,12210
79024412,8485
79026012,12177
79027112,851
79028212,12189
79029312,3002
79030412,1373
79031912,5763
79033012,11803
79034112,16
79035212,10266
79036712,12200
79037812,12191
79038912,12186
79040012,3849
79041512,4478
79042612,38
79043712,12171
79044812,40
79046312,12191
79047412,0
79048512,12210
79049612,8192
79051112,7160
79052212,12185
79053312,12201
79054412,1954
79055912,49
79057012,5935
79058112,5314
79059212,10692
79060312,2590
79061812,12216
79062912,26
79064012,12160
79065112,11059
79066712,12215
79067812,12166
79068912,11568
79070012,2554
79144611,40
79146111,12159
79147311,1694
79148411,11
79149511,12102
79151011,12171
79152111,22
79153211,12174
79154311,59
79155411,4734
79157011,1151
79158111,12211
79159211,5306
79160311,12167
79161811,2862
79162911,12227
79164011,7304
79165111,52
79166611,7
79167711,12216
79168811,3874
79258310,12191
79259810,12176
79261312,34
79262512,12194
79263612,12215
79264712,12196
79266212,12184
79267312,4132
79268412,10323
79269512,5564
79271012,5269
79272112,4205
79273212,6901
79274312,21
79275412,7203
79277012,3502
79278112,3882
79279212,7051
79280312,8623
79281812,12202
79282912,9587
79284012,9330
79285112,12215
79286612,6002
79287712,5260
79288812,10884
79289912,9948
79291412,5188
79292512,912
79293612,1447
79294712,3916
79296212,7445
79297312,287
79298412,1599
79299512,2627
79301012,8044
79302112,6082
79303212,4234
79304312,10121
79305412,12200
79306912,5522
79308012,12200
79309112,12199
79310212,10634
79311712,10836
79312812,4957
79313912,7866
79315012,6895
79316612,6800
79317712,10336
79318812,821
79319912,2035
79321412,5447
79322512,7550
79323612,1448
79324712,4997
79398711,3631
79400311,12192
79401811,12194
79402911,46
79404011,12218
79405111,12205
79406611,54
79407711,12216
79498310,7650
79518811,6842
79520411,9387
79521911,7307
79523011,25
79524111,6553
79525211,3883
79526711,10119
79527811,8352
79528911,18
79530011,12209
79531511,2872
79532611,12166
79533711,3755
79534811,12162
79536311,28
79537411,12184
79538511,50
79539611,16
79541111,1485
79542211,12194
79543311,12160
79544411,3207
79545911,7
79547011,16
79548111,12168
79549211,54
79550311,12162
79551811,8803
79552911,12172
79554011,9182
79555111,3304
79556711,10407
79557811,11658
79558911,12202
79560011,0
79561511,790
79562611,49
79563711,12178
79564811,22
79566311,7842
79567411,41
79568511,12158
79569611,12
79571111,2782
79572211,8494
79573311,12185
79574411,12164
79575911,12199
79577011,12160
79578111,12218
79579211,12168
79580311,7
79581811,12207
79582911,0
79584011,12167
79585111,30
79586611,12214
79587711,10879
79588811,12214
79589911,12187
79664412,10
79666012,0
79667212,12215
79755710,12209
79757310,12216
79758410,2289
79759510,12172
79761010,12208
79762110,5122
79763210,12196
79764310,40
79765410,7
79767012,12165
79768112,44
79769212,12204
79770312,12210
79771812,12185
79772912,5839
79774012,12193
79775112,10
79776612,20
79777712,10303
79778812,0
79779912,12197
79781412,12162
79782512,27
79783612,12196
79784712,20
79786212,18
79787312,12170
79788412,12157
79789512,5152
79791012,12169
79792112,12198
79793212,26
79794312,12199
79795412,64
79796912,21
79798012,12157
79799112,12199
79800212,12212
79801712,12195
79802812,8142
79803912,12179
79805012,12140
79806612,2692
79807712,28
79808812,12173
79809912,27
79811412,22
79812512,12169
79813612,56
79814712,12170
79816212,12181
79817312,44
79818412,3225
79819512,12199
79821012,6636
79822112,4585
79823212,12193
79824312,3728
79825412,12200
79826912,12219
79828012,5667
79829112,12190
79830212,10191
79831712,9458
79924610,31
79937912,2447
79939412,3286
